species	biosystem_ncbi_gene_id	gene_symbol	gene_description	type_of_gene
Caenorhabditis elegans	178733	Y45G12B.3	L-2-hydroxyglutarate dehydrogenase, mitochondrial	protein-coding
Caenorhabditis elegans	178768	cfz-2	Caenorhabditis FriZzled homolog	protein-coding
Caenorhabditis elegans	178777	T22F3.3	Alpha-1,4 glucan phosphorylase	protein-coding
Caenorhabditis elegans	178778	rpl-11.1	60S ribosomal protein L11	protein-coding
Caenorhabditis elegans	178823	rpac-40	RNA Polymerase I/III (A/C) shared subunit	protein-coding
Caenorhabditis elegans	178830	hpo-18	hypothetical protein	protein-coding
Caenorhabditis elegans	178831	mcm-7	DNA helicase	protein-coding
Caenorhabditis elegans	178834	F32D1.5	GMP reductase	protein-coding
Caenorhabditis elegans	178835	fipp-1	Factor Interacting with Poly(A) Polymerase	protein-coding
Caenorhabditis elegans	178839	skr-14	SKp1 Related (ubiquitin ligase complex component)	protein-coding
Caenorhabditis elegans	178851	Y61A9LA.10	hypothetical protein	protein-coding
Caenorhabditis elegans	178872	adss-1	Adenylosuccinate synthetase	protein-coding
Caenorhabditis elegans	178893	pqn-51	Prion-like-(Q/N-rich)-domain-bearing protein	protein-coding
Caenorhabditis elegans	178895	mlk-1	human MLK (Mixed Lineage Kinase) homolog	protein-coding
Caenorhabditis elegans	178910	C52A10.2	Carboxylic ester hydrolase	protein-coding
Caenorhabditis elegans	178924	F08F3.4	hypothetical protein	protein-coding
Caenorhabditis elegans	178928	acl-6	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	178940	ugt-48	Putative UDP-glucuronosyltransferase ugt-48	protein-coding
Caenorhabditis elegans	178956	hmgs-1	Hydroxymethylglutaryl-CoA synthase	protein-coding
Caenorhabditis elegans	178960	gcst-1	Aminomethyltransferase	protein-coding
Caenorhabditis elegans	178963	K09H11.7	hypothetical protein	protein-coding
Caenorhabditis elegans	178964	C53A3.2	hypothetical protein	protein-coding
Caenorhabditis elegans	178965	F44E7.2	hypothetical protein	protein-coding
Caenorhabditis elegans	178979	M03F8.3	hypothetical protein	protein-coding
Caenorhabditis elegans	178985	fut-8	Alpha-(1,6)-fucosyltransferase	protein-coding
Caenorhabditis elegans	178989	aps-1	AdaPtin, Small chain (clathrin associated complex)	protein-coding
Caenorhabditis elegans	178997	crt-1	Calreticulin	protein-coding
Caenorhabditis elegans	179010	rme-1	Receptor Mediated Endocytosis	protein-coding
Caenorhabditis elegans	179020	F13H6.3	Esterase CM06B1	protein-coding
Caenorhabditis elegans	179026	alh-4	Aldehyde dehydrogenase	protein-coding
Caenorhabditis elegans	179029	hpo-19	NADH-cytochrome b5 reductase	protein-coding
Caenorhabditis elegans	179031	acl-8	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	179032	acl-9	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	179036	W01A11.1	hypothetical protein	protein-coding
Caenorhabditis elegans	179053	cpr-4	Cathepsin B-like cysteine proteinase 4	protein-coding
Caenorhabditis elegans	179055	syx-18	SYntaXin	protein-coding
Caenorhabditis elegans	179063	dlst-1	DihydroLipoamide S-SuccinylTransferase	protein-coding
Caenorhabditis elegans	179068	dbl-1	DPP/BMP-Like	protein-coding
Caenorhabditis elegans	179079	odc-1	Ornithine decarboxylase	protein-coding
Caenorhabditis elegans	179080	unc-68	hypothetical protein	protein-coding
Caenorhabditis elegans	179103	cpsf-2	Probable cleavage and polyadenylation specificity factor subunit 2	protein-coding
Caenorhabditis elegans	179105	F09G2.8	Probable phospholipase D F09G2.8	protein-coding
Caenorhabditis elegans	179116	C05C8.5	hypothetical protein	protein-coding
Caenorhabditis elegans	179120	C05C8.7	hypothetical protein	protein-coding
Caenorhabditis elegans	179130	ddo-2	D-aspartate oxidase 2	protein-coding
Caenorhabditis elegans	179140	F19F10.9	hypothetical protein	protein-coding
Caenorhabditis elegans	179153	rpl-39	60S ribosomal protein L39	protein-coding
Caenorhabditis elegans	179154	rps-30	Ribosomal Protein, Small subunit	protein-coding
Caenorhabditis elegans	179160	xpo-1	eXPOrtin (nuclear export receptor)	protein-coding
Caenorhabditis elegans	179165	C37C3.2	Eukaryotic translation initiation factor 5	protein-coding
Caenorhabditis elegans	179178	rpb-9	DNA-directed RNA polymerase subunit	protein-coding
Caenorhabditis elegans	179217	mom-2	Protein mom-2	protein-coding
Caenorhabditis elegans	179223	vha-18	Probable V-type proton ATPase subunit H 1	protein-coding
Caenorhabditis elegans	179229	mrps-2	Mitochondrial Ribosomal Protein, Small	protein-coding
Caenorhabditis elegans	179230	mrpl-4	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	179240	tag-196	hypothetical protein	protein-coding
Caenorhabditis elegans	179241	F41E6.5	hypothetical protein	protein-coding
Caenorhabditis elegans	179242	vps-60	related to yeast Vacuolar Protein Sorting factor	protein-coding
Caenorhabditis elegans	179272	unc-23	hypothetical protein	protein-coding
Caenorhabditis elegans	179313	acl-14	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	179314	K07B1.4	hypothetical protein	protein-coding
Caenorhabditis elegans	179316	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	protein-coding
Caenorhabditis elegans	179329	haao-1	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding
Caenorhabditis elegans	179335	pfk-1.2	ATP-dependent 6-phosphofructokinase 2	protein-coding
Caenorhabditis elegans	179358	rbx-1	RING-box protein 1	protein-coding
Caenorhabditis elegans	179364	aagr-3	Acid Alpha Glucosidase Relate	protein-coding
Caenorhabditis elegans	179371	smg-4	Suppressor with Morphological effect on Genitalia	protein-coding
Caenorhabditis elegans	179383	T07C12.12	hypothetical protein	protein-coding
Caenorhabditis elegans	179395	uda-1	Nucleoside-diphosphatase uda-1	protein-coding
Caenorhabditis elegans	179398	acl-2	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	179404	R04B5.6	hypothetical protein	protein-coding
Caenorhabditis elegans	179405	R04B5.5	hypothetical protein	protein-coding
Caenorhabditis elegans	179409	aos-1	SUMO-activating enzyme subunit aos-1	protein-coding
Caenorhabditis elegans	179411	C08B6.8	Probable oligoribonuclease	protein-coding
Caenorhabditis elegans	179418	rpc-25	RNA Polymerase, Class III (C)	protein-coding
Caenorhabditis elegans	179437	gna-1	Glucosamine 6-phosphate N-acetyltransferase	protein-coding
Caenorhabditis elegans	179442	K07C5.4	Uncharacterized NOP5 family protein K07C5.4	protein-coding
Caenorhabditis elegans	179443	K07C5.6	Pre-mRNA-splicing factor SLU7	protein-coding
Caenorhabditis elegans	179458	pap-1	Poly-A Polymerase	protein-coding
Caenorhabditis elegans	179462	crp-1	Cdc-42 Related Protein	protein-coding
Caenorhabditis elegans	179469	ppm-1	Protein Phosphatase, Mg2+/Mn2+ dependent	protein-coding
Caenorhabditis elegans	179484	sqv-4	UDP-glucose 6-dehydrogenase	protein-coding
Caenorhabditis elegans	179486	gsp-1	Serine/threonine-protein phosphatase	protein-coding
Caenorhabditis elegans	179493	pas-2	Proteasome subunit alpha type-2	protein-coding
Caenorhabditis elegans	179498	secs-1	O-phosphoseryl-tRNA(Sec) selenium transferase	protein-coding
Caenorhabditis elegans	179500	plrg-1	PLeiotropic ReGulator (vertebrate) homolog	protein-coding
Caenorhabditis elegans	179502	lig-1	DNA ligase 1	protein-coding
Caenorhabditis elegans	179506	F32D8.12	hypothetical protein	protein-coding
Caenorhabditis elegans	179510	emo-1	Protein transport protein Sec61 subunit gamma	protein-coding
Caenorhabditis elegans	179524	F53B7.3	hypothetical protein	protein-coding
Caenorhabditis elegans	179526	pptr-2	Protein Phosphatase 2A (Two A) Regulatory subunit	protein-coding
Caenorhabditis elegans	179527	pak-2	Serine/threonine-protein kinase pak-2	protein-coding
Caenorhabditis elegans	179533	act-3	Actin-3	protein-coding
Caenorhabditis elegans	179534	act-2	Actin-2	protein-coding
Caenorhabditis elegans	179535	act-1	Actin-1	protein-coding
Caenorhabditis elegans	179537	erfa-3	Eukaryotic Release FActor homolog	protein-coding
Caenorhabditis elegans	179538	math-33	Ubiquitin carboxyl-terminal hydrolase	protein-coding
Caenorhabditis elegans	179540	mboa-2	Membrane Bound O-Acyl transferase, MBOAT	protein-coding
Caenorhabditis elegans	179562	gly-20	GLYcosylation related	protein-coding
Caenorhabditis elegans	179598	skp-1	mammalian SKIP (Ski interacting protein) homolog	protein-coding
Caenorhabditis elegans	179604	tre-3	TREhalase	protein-coding
Caenorhabditis elegans	179607	npp-22	Nucleoporin ndc-1	protein-coding
Caenorhabditis elegans	179611	syx-5	Putative syntaxin-5	protein-coding
Caenorhabditis elegans	179612	sel-11	E3 ubiquitin-protein ligase hrd-1	protein-coding
Caenorhabditis elegans	179616	pyc-1	PYruvate Carboxylase	protein-coding
Caenorhabditis elegans	179617	mpst-1	Putative thiosulfate sulfurtransferase mpst-1	protein-coding
Caenorhabditis elegans	179627	sodh-1	Alcohol dehydrogenase 1	protein-coding
Caenorhabditis elegans	179628	sodh-2	Alcohol dehydrogenase 2	protein-coding
Caenorhabditis elegans	179632	aman-2	Alpha-mannosidase	protein-coding
Caenorhabditis elegans	179637	cpr-1	Gut-specific cysteine proteinase	protein-coding
Caenorhabditis elegans	179639	snr-4	Probable small nuclear ribonucleoprotein Sm D2	protein-coding
Caenorhabditis elegans	179644	gcy-33	Guanylyl CYclase	protein-coding
Caenorhabditis elegans	179649	pkc-1	Protein kinase C	protein-coding
Caenorhabditis elegans	179657	kmo-1	Kynurenine 3-monooxygenase	protein-coding
Caenorhabditis elegans	179661	C13C4.4	hypothetical protein	protein-coding
Caenorhabditis elegans	179678	rad-50	DNA repair protein rad-50	protein-coding
Caenorhabditis elegans	179680	tbb-6	TuBulin, Beta	protein-coding
Caenorhabditis elegans	179688	R04F11.3	hypothetical protein	protein-coding
Caenorhabditis elegans	179690	R04F11.2	hypothetical protein	protein-coding
Caenorhabditis elegans	179711	mrps-11	Mitochondrial Ribosomal Protein, Small	protein-coding
Caenorhabditis elegans	179714	T28H10.3	hypothetical protein	protein-coding
Caenorhabditis elegans	179720	sel-1	Suppressor/Enhancer of Lin-12	protein-coding
Caenorhabditis elegans	179721	mrps-5	Putative 28S ribosomal protein S5, mitochondrial	protein-coding
Caenorhabditis elegans	179726	C14C10.5	hypothetical protein	protein-coding
Caenorhabditis elegans	179737	istr-1	Increased Sodium Tolerance Related	protein-coding
Caenorhabditis elegans	179739	rpl-28	60S ribosomal protein L28	protein-coding
Caenorhabditis elegans	179760	C44H9.4	hypothetical protein	protein-coding
Caenorhabditis elegans	179771	lipl-1	Lipase	protein-coding
Caenorhabditis elegans	179772	dhrs-4	Dehydrogenase/reductase SDR family member 4	protein-coding
Caenorhabditis elegans	179783	R186.7	hypothetical protein	protein-coding
Caenorhabditis elegans	179790	lap-2	Putative aminopeptidase W07G4.4	protein-coding
Caenorhabditis elegans	179795	acly-2	ATP-citrate synthase	protein-coding
Caenorhabditis elegans	179815	F32H5.1	hypothetical protein	protein-coding
Caenorhabditis elegans	179818	cpz-2	CathePsin Z	protein-coding
Caenorhabditis elegans	179832	eea-1	EEA1 (Early Endosome Antigen, Rab effector) homolog	protein-coding
Caenorhabditis elegans	179833	gut-2	hypothetical protein	protein-coding
Caenorhabditis elegans	179838	cav-2	Caveolin-2	protein-coding
Caenorhabditis elegans	179845	fmo-4	Dimethylaniline monooxygenase [N-oxide-forming]	protein-coding
Caenorhabditis elegans	179850	F53F4.10	Probable NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	protein-coding
Caenorhabditis elegans	179853	lpin-1	LiPIN (mammalian lipodystrophy associated) homolog	protein-coding
Caenorhabditis elegans	179878	sel-10	F-box/WD repeat-containing protein sel-10	protein-coding
Caenorhabditis elegans	179884	sptl-3	Serine palmitoyltransferase 3	protein-coding
Caenorhabditis elegans	179890	algn-13	Asparagine Linked Glycosylation (ALG) homolog, Nematode	protein-coding
Caenorhabditis elegans	179897	ddx-17	DEAD boX helicase homolog	protein-coding
Caenorhabditis elegans	179938	nxf-2	Nuclear RNA export factor 2	protein-coding
Caenorhabditis elegans	179946	fntb-1	FarNesylTransferase, Beta subunit	protein-coding
Caenorhabditis elegans	179962	gar-3	Muscarinic acetylcholine receptor gar-3	protein-coding
Caenorhabditis elegans	179967	rfc-1	RFC (DNA replication factor) family	protein-coding
Caenorhabditis elegans	179971	daf-21	Heat shock protein 90	protein-coding
Caenorhabditis elegans	179990	H12D21.10	hypothetical protein	protein-coding
Caenorhabditis elegans	179998	rps-16	40S ribosomal protein S16	protein-coding
Caenorhabditis elegans	179999	fib-1	rRNA 2'-O-methyltransferase fibrillarin	protein-coding
Caenorhabditis elegans	180010	mcm-3	DNA helicase	protein-coding
Caenorhabditis elegans	180033	cpr-3	Cathepsin B-like cysteine proteinase 3	protein-coding
Caenorhabditis elegans	180040	cyb-3	G2/mitotic-specific cyclin-B3	protein-coding
Caenorhabditis elegans	180044	rpl-38	60S ribosomal protein L38	protein-coding
Caenorhabditis elegans	180047	lsm-5	LSM Sm-like protein	protein-coding
Caenorhabditis elegans	180069	T10C6.5	Protein CWC15 homolog	protein-coding
Caenorhabditis elegans	180080	F44G3.2	hypothetical protein	protein-coding
Caenorhabditis elegans	180100	pptr-1	Protein Phosphatase 2A (Two A) Regulatory subunit	protein-coding
Caenorhabditis elegans	180111	cpl-1	CathePsin L family	protein-coding
Caenorhabditis elegans	180126	T20B3.1	hypothetical protein	protein-coding
Caenorhabditis elegans	180165	pgp-9	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	180175	E01B7.1	hypothetical protein	protein-coding
Caenorhabditis elegans	180180	prp-6	yeast PRP (splicing factor) related	protein-coding
Caenorhabditis elegans	180231	wars-1	tryptophanyl(W) Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	180232	emb-4	hypothetical protein	protein-coding
Caenorhabditis elegans	180243	Y39B6A.36	General transcription factor IIF subunit 2	protein-coding
Caenorhabditis elegans	180263	pph-5	Protein PHosphatase	protein-coding
Caenorhabditis elegans	180303	fars-2	Phenylalanyl Amino-acyl tRNA Synthetase	protein-coding
Caenorhabditis elegans	180315	dcs-1	DeCapping Scavenger enzyme homolog	protein-coding
Caenorhabditis elegans	180317	sec-23	yeast SEC homolog	protein-coding
Caenorhabditis elegans	180318	ncx-1	Na/Ca eXchangers	protein-coding
Caenorhabditis elegans	180343	rpl-2	60S ribosomal protein L8	protein-coding
Caenorhabditis elegans	180344	B0250.5	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial	protein-coding
Caenorhabditis elegans	180354	ipla-3	Intracelllar PhosphoLipase A family	protein-coding
Caenorhabditis elegans	180361	Y44A6D.5	Branched-chain-amino-acid aminotransferase	protein-coding
Caenorhabditis elegans	180364	T03D8.6	hypothetical protein	protein-coding
Caenorhabditis elegans	180369	exos-7	EXOSome (multiexonuclease complex) component	protein-coding
Caenorhabditis elegans	180372	F31D4.9	hypothetical protein	protein-coding
Caenorhabditis elegans	180400	aagr-4	Acid Alpha Glucosidase Relate	protein-coding
Caenorhabditis elegans	180404	ugt-46	Putative UDP-glucuronosyltransferase ugt-46	protein-coding
Caenorhabditis elegans	180419	sli-1	Suppressor of LIneage defect	protein-coding
Caenorhabditis elegans	180422	trap-2	Translocon-associated protein subunit beta	protein-coding
Caenorhabditis elegans	180423	ile-2	Intracellular LEctin	protein-coding
Caenorhabditis elegans	180429	F25E2.3	hypothetical protein	protein-coding
Caenorhabditis elegans	180434	cdo-1	Cysteine dioxygenase 1	protein-coding
Caenorhabditis elegans	180445	sms-2	Phosphatidylcholine:ceramide cholinephosphotransferase 2	protein-coding
Caenorhabditis elegans	180452	dgk-1	Diacylglycerol kinase	protein-coding
Caenorhabditis elegans	180456	sec-22	yeast SEC homolog	protein-coding
Caenorhabditis elegans	180464	ife-4	Eukaryotic translation initiation factor 4E-4	protein-coding
Caenorhabditis elegans	180485	acly-1	Probable ATP-citrate synthase	protein-coding
Caenorhabditis elegans	180519	acl-4	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	180531	T24C12.3	hypothetical protein	protein-coding
Caenorhabditis elegans	180533	hex-1	Beta-hexosaminidase A	protein-coding
Caenorhabditis elegans	180535	rpl-11.2	Ribosomal Protein, Large subunit	protein-coding
Caenorhabditis elegans	180550	R04B3.2	Glycosylasparaginase beta chain	protein-coding
Caenorhabditis elegans	180565	ser-7	SERotonin/octopamine receptor family	protein-coding
Caenorhabditis elegans	180573	Y71H10B.1	hypothetical protein	protein-coding
Caenorhabditis elegans	180582	fard-1	Fatty Acyl-CoA ReDuctase	protein-coding
Caenorhabditis elegans	180583	pfk-1.1	ATP-dependent 6-phosphofructokinase 1	protein-coding
Caenorhabditis elegans	180596	pccb-1	Propionyl Coenzyme A Carboxylase Beta subunit	protein-coding
Caenorhabditis elegans	180607	C15C7.7	GDP-fucose protein O-fucosyltransferase 1	protein-coding
Caenorhabditis elegans	180628	cht-1	Probable endochitinase	protein-coding
Caenorhabditis elegans	180663	fkh-2	ForKHead transcription factor family	protein-coding
Caenorhabditis elegans	180667	erp-1	Endophilin-Related Protein	protein-coding
Caenorhabditis elegans	180685	mop-25.1	MO25 (MOuse embryo scaffolding Protein) homolog	protein-coding
Caenorhabditis elegans	180690	nck-1	NCK (Non-Catalytic region of tyrosine Kinase) adaptor protein family	protein-coding
Caenorhabditis elegans	180698	taf-11.1	TAF (TBP-associated transcription factor) family	protein-coding
Caenorhabditis elegans	180703	cka-2	Choline kinase A2	protein-coding
Caenorhabditis elegans	180713	dpy-23	AP-2 complex subunit mu	protein-coding
Caenorhabditis elegans	180714	dop-1	DOPamine receptor	protein-coding
Caenorhabditis elegans	180717	atg-16.1	Autophagic-related protein 16.1	protein-coding
Caenorhabditis elegans	180719	ncr-1	Niemann-Pick C1 protein homolog 1	protein-coding
Caenorhabditis elegans	180724	pdi-2	Protein Disulfide Isomerase	protein-coding
Caenorhabditis elegans	180746	dnj-14	DNaJ domain (prokaryotic heat shock protein)	protein-coding
Caenorhabditis elegans	180748	rpl-25.1	60S ribosomal protein L23a 1	protein-coding
Caenorhabditis elegans	180749	aman-1	Alpha-mannosidase	protein-coding
Caenorhabditis elegans	180767	act-4	Actin-4	protein-coding
Caenorhabditis elegans	180770	ZC8.6	hypothetical protein	protein-coding
Caenorhabditis elegans	180818	dpyd-1	Dihydropyrimidine dehydrogenase [NADP(+)]	protein-coding
Caenorhabditis elegans	180824	mboa-3	Membrane Bound O-Acyl transferase, MBOAT	protein-coding
Caenorhabditis elegans	180853	ctbp-1	C-terminal-binding protein 1	protein-coding
Caenorhabditis elegans	180859	acs-17	fatty Acid CoA Synthetase family	protein-coding
Caenorhabditis elegans	180860	mig-23	Nucleoside-diphosphatase mig-23	protein-coding
Caenorhabditis elegans	180871	ipp-5	Probable type I inositol 1,4,5-trisphosphate 5-phosphatase	protein-coding
Caenorhabditis elegans	180873	pak-1	Serine/threonine-protein kinase pak-1	protein-coding
Caenorhabditis elegans	180875	gln-1	GLutamiNe synthetase (glutamate-ammonia ligase)	protein-coding
Caenorhabditis elegans	180883	flu-2	Kynureninase	protein-coding
Caenorhabditis elegans	180897	got-2.2	Aspartate aminotransferase	protein-coding
Caenorhabditis elegans	180904	mom-1	Protein-serine O-palmitoleoyltransferase porcupine	protein-coding
Caenorhabditis elegans	180912	lmp-1	LAMP family protein lmp-1	protein-coding
Caenorhabditis elegans	180918	fah-1	FumarylAcetoacetate Hydrolase	protein-coding
Caenorhabditis elegans	180921	C15B12.1	Putative sarcosine oxidase	protein-coding
Caenorhabditis elegans	180922	gar-1	Probable muscarinic acetylcholine receptor gar-1	protein-coding
Caenorhabditis elegans	180939	smf-1	NRAMP-like transporter smf-1	protein-coding
Caenorhabditis elegans	180947	asp-3	Aspartic protease 3	protein-coding
Caenorhabditis elegans	180974	pdi-6	Probable protein disulfide-isomerase A6	protein-coding
Caenorhabditis elegans	180978	ist-1	Insulin receptor SubsTrate homolog	protein-coding
Caenorhabditis elegans	180983	dnj-7	DNaJ domain (prokaryotic heat shock protein)	protein-coding
Caenorhabditis elegans	180986	F46H5.3	Probable arginine kinase F46H5.3	protein-coding
Caenorhabditis elegans	180992	sur-5	Acetoacetyl-CoA synthetase	protein-coding
Caenorhabditis elegans	181004	mek-1	Dual specificity mitogen-activated protein kinase kinase mek-1	protein-coding
Caenorhabditis elegans	181005	gly-12	GLYcosylation related	protein-coding
Caenorhabditis elegans	181007	uggt-1	UDP-Glucose Glycoprotein glucosylTransferase	protein-coding
Caenorhabditis elegans	181026	pcca-1	Propionyl-CoA carboxylase alpha chain, mitochondrial	protein-coding
Caenorhabditis elegans	181036	mec-7	Tubulin beta-1 chain	protein-coding
Caenorhabditis elegans	181047	C39D10.3	hypothetical protein	protein-coding
Caenorhabditis elegans	181092	F41D9.t1	tRNA	tRNA
Caenorhabditis elegans	181121	asns-2	ASparagiNe Synthetase	protein-coding
Caenorhabditis elegans	181140	C24A3.4	hypothetical protein	protein-coding
Caenorhabditis elegans	181160	gly-13	Putative alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	protein-coding
Caenorhabditis elegans	181163	apa-2	AdaPtin, Alpha chain (clathrin associated complex)	protein-coding
Caenorhabditis elegans	181166	pkc-2	Protein kinase C	protein-coding
Caenorhabditis elegans	181168	fln-2	FiLamiN (actin binding protein) homolog	protein-coding
Caenorhabditis elegans	181169	B0272.3	Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3	protein-coding
Caenorhabditis elegans	181170	tbb-4	Tubulin beta-4 chain	protein-coding
Caenorhabditis elegans	181176	F49E2.1	Cyclic pyranopterin monophosphate synthase accessory protein	protein-coding
Caenorhabditis elegans	181178	gpx-5	Glutathione peroxidase	protein-coding
Caenorhabditis elegans	181196	ipla-2	Intracelllar PhosphoLipase A family	protein-coding
Caenorhabditis elegans	181205	ugt-23	UDP-glucuronosyltransferase	protein-coding
Caenorhabditis elegans	181209	cysl-1	Cysteine synthase 1	protein-coding
Caenorhabditis elegans	181210	ZC506.1	alpha-1,2-Mannosidase	protein-coding
Caenorhabditis elegans	181211	pssy-1	PhosphatidylSerine SYnthase	protein-coding
Caenorhabditis elegans	181212	grk-1	G protein-coupled receptor kinase 1	protein-coding
Caenorhabditis elegans	181215	cbs-1	Cystathionine Beta-Synthase	protein-coding
Caenorhabditis elegans	181217	ZC373.4	hypothetical protein	protein-coding
Caenorhabditis elegans	181218	ZC373.5	Probable methylthioribulose-1-phosphate dehydratase	protein-coding
Caenorhabditis elegans	181223	W07E11.1	hypothetical protein	protein-coding
Caenorhabditis elegans	181241	acl-5	ACyLtransferase-like	protein-coding
Caenorhabditis elegans	181252	mboa-7	Lysophospholipid acyltransferase 7	protein-coding
Caenorhabditis elegans	181261	abl-1	Tyrosine-protein kinase abl-1	protein-coding
Caenorhabditis elegans	181274	plc-1	Phosphoinositide phospholipase C	protein-coding
Caenorhabditis elegans	181276	pgp-5	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	181280	suca-1	Probable succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	protein-coding
Caenorhabditis elegans	181319	F08G12.2	hypothetical protein	protein-coding
Caenorhabditis elegans	181324	aco-1	Probable cytoplasmic aconitate hydratase	protein-coding
Caenorhabditis elegans	181326	pgp-3	Multidrug resistance protein pgp-3	protein-coding
Caenorhabditis elegans	181327	pgp-4	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	181331	prx-12	Putative peroxisome assembly protein 12	protein-coding
Caenorhabditis elegans	181334	pek-1	Eukaryotic translation initiation factor 2-alpha kinase pek-1	protein-coding
Caenorhabditis elegans	181344	mig-2	hypothetical protein	protein-coding
Caenorhabditis elegans	181380	M153.1	hypothetical protein	protein-coding
Caenorhabditis elegans	181393	F42F12.4	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	protein-coding
Caenorhabditis elegans	181405	atf-6	ATF (cAMP-dependent transcription factor) family	protein-coding
Caenorhabditis elegans	181413	ugt-50	Putative UDP-glucuronosyltransferase ugt-50	protein-coding
Caenorhabditis elegans	181415	pgp-12	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	181416	pgp-14	P-GlycoProtein related	protein-coding
Caenorhabditis elegans	181417	alh-13	Glutamate 5-kinase	protein-coding
Caenorhabditis elegans	181422	T14G8.3	hypothetical protein	protein-coding
Caenorhabditis elegans	181423	bcat-1	Branched-chain-amino-acid aminotransferase, cytosolic	protein-coding
Caenorhabditis elegans	181428	ppk-3	PIP Kinase	protein-coding
Caenorhabditis elegans	181444	asp-4	ASpartyl Protease	protein-coding
Caenorhabditis elegans	181447	skr-21	SKp1 Related (ubiquitin ligase complex component)	protein-coding
Caenorhabditis elegans	181457	mxl-3	MaX-Like	protein-coding
Caenorhabditis elegans	181464	C29F7.3	UMP-CMP kinase 1	protein-coding
Caenorhabditis elegans	181505	syx-2	Putative syntaxin-2	protein-coding
Caenorhabditis elegans	181517	C33G3.4	Probable beta-mannosidase	protein-coding
Caenorhabditis elegans	181556	tap-1	TAK1 kinase/MOM-4 binding Protein	protein-coding
Caenorhabditis elegans	181570	sucl-1	Probable succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	protein-coding
Caenorhabditis elegans	181572	Y16B4A.2	Carboxypeptidase	protein-coding
Caenorhabditis elegans	181574	tatn-1	Tyrosine AminoTraNsferase	protein-coding
Caenorhabditis elegans	181577	epn-1	EPsiN (endocytic protein) homolog	protein-coding
Caenorhabditis elegans	181618	piki-1	phosphoInositide-3-KInase	protein-coding
Caenorhabditis elegans	181633	nkat-3	Nematode Kynurenine AminoTransferase	protein-coding
Caenorhabditis elegans	181638	suox-1	SUlfite OXidase	protein-coding
Caenorhabditis elegans	181644	dyn-1	Dynamin	protein-coding
Caenorhabditis elegans	181668	F59F4.1	Acyl-coenzyme A oxidase	protein-coding
Caenorhabditis elegans	181671	acl-1	Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-1	protein-coding
Caenorhabditis elegans	181674	csb-1	human CSB (Cockayne Syndrome B) homolog	protein-coding
Caenorhabditis elegans	181682	B0395.3	hypothetical protein	protein-coding
Caenorhabditis elegans	181721	C06G1.5	hypothetical protein	protein-coding
Caenorhabditis elegans	181758	acdh-7	Acyl CoA DeHydrogenase	protein-coding
Caenorhabditis elegans	181790	cgt-2	Ceramide glucosyltransferase 2	protein-coding
Caenorhabditis elegans	181823	ptps-1	Putative 6-pyruvoyl tetrahydrobiopterin synthase	protein-coding
Caenorhabditis elegans	181833	mrpl-9	Mitochondrial Ribosomal Protein, Large	protein-coding
Caenorhabditis elegans	181843	B0212.t1	tRNA	tRNA
Caenorhabditis elegans	181866	B0228.t1	tRNA	tRNA
Caenorhabditis elegans	181879	B0244.t1	tRNA	tRNA
Caenorhabditis elegans	181881	B0244.t3	tRNA	tRNA
Caenorhabditis elegans	181891	memb-1	Probable Golgi SNAP receptor complex member 2	protein-coding
Caenorhabditis elegans	181904	ckb-1	Choline kinase B1	protein-coding
Caenorhabditis elegans	181905	ckb-3	Putative choline kinase B3	protein-coding
Caenorhabditis elegans	181906	B0285.t1	tRNA	tRNA
Caenorhabditis elegans	181917	mrpl-11	Probable 39S ribosomal protein L11, mitochondrial	protein-coding
Caenorhabditis elegans	181932	B0344.t1	tRNA	tRNA
Caenorhabditis elegans	181933	B0344.t2	tRNA	tRNA
Caenorhabditis elegans	181934	B0344.t3	tRNA	tRNA
Caenorhabditis elegans	181939	B0350.t1	tRNA	tRNA
Caenorhabditis elegans	181960	B0395.t1	tRNA	tRNA
Caenorhabditis elegans	181979	ubc-17	Probable ubiquitin-conjugating enzyme protein 17	protein-coding
Caenorhabditis elegans	182002	B0491.t1	tRNA	tRNA
